 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";748477,16;832604,29;813819,34;677161,99;653538,90;725487,04;760888,27;724116,20;626269,75;626343,21;653669,39;696173,92;297586,37;8836135,83
"110037 Alto Alegre dos Parecis";-;29037,36;157493,53;236310,22;191917,84;119589,08;116783,86;149785,11;174182,28;190399,87;122482,11;121618,02;72196,72;1681796,00
"110040 Alto Paraíso";658,62;105178,42;139966,23;132582,63;126809,86;128637,78;111234,49;94439,25;94168,15;129443,66;117265,94;142301,54;91586,52;1414273,09
"110034 Alvorada D'Oeste";173539,53;412624,64;423451,70;329103,31;251242,65;264660,45;182906,56;139138,37;150930,21;179733,93;210702,35;167355,11;43531,19;2928920,00
"110002 Ariquemes";1809340,13;2272013,58;3283416,82;3427425,87;3322924,34;3708151,19;3463928,54;3973057,43;4382048,70;4502478,44;4342873,72;4548936,72;2295361,89;45331957,37
"110045 Buritis";-;-;-;-;27726,80;384470,17;420890,06;246217,80;285806,42;194714,85;276116,45;352997,15;264725,75;2453665,45
"110003 Cabixi";2904,05;89883,71;111129,25;84693,13;91559,13;89864,83;89403,87;92187,84;100223,63;97387,75;80628,43;86190,75;53526,20;1069582,57
"110060 Cacaulândia";2007,70;99005,61;102568,60;80928,15;47325,86;32567,06;26038,87;26240,24;19258,03;13370,71;14813,22;17964,66;2042,77;484131,48
"110004 Cacoal";1812969,28;2081266,19;2291208,52;2413324,06;3428388,18;5081347,01;7392914,64;7533927,08;9580907,92;10054183,76;11246364,82;11603201,67;6457523,01;80977526,14
"110070 Campo Novo de Rondônia";25367,52;261819,18;291251,51;345181,28;197802,96;229161,05;179565,52;93988,59;92991,13;90668,16;124883,77;84849,61;23702,60;2041232,88
"110005 Cerejeiras";411657,49;633444,19;495037,33;588467,30;579877,48;522643,32;491123,65;565965,05;483308,62;446184,84;460198,78;353857,08;211792,55;6243557,68
"110006 Colorado do Oeste";204025,22;524695,79;550322,82;524319,69;478704,74;325078,21;306163,93;232823,31;218079,84;292923,87;264368,42;423628,29;145234,96;4490369,09
"110007 Corumbiara";-;26000,88;74982,63;-;-;-;-;-;-;-;-;-;-;100983,51
"110008 Costa Marques";138621,50;279258,86;82355,11;261608,36;41641,54;51545,52;209932,96;55086,19;70431,22;123706,12;186081,30;121080,82;34812,17;1656161,67
"110094 Cujubim";-;-;53546,29;154549,33;60355,64;-;-;22857,19;60782,28;324654,21;269921,69;167048,01;40450,00;1154164,64
"110009 Espigão D'Oeste";290514,58;528184,21;340257,63;433007,23;490024,00;470721,42;413204,14;460115,79;494452,79;520419,77;674577,39;757458,10;374323,97;6247261,02
"110100 Governador Jorge Teixeira";127585,50;220490,47;216751,27;95184,79;88543,24;68942,82;91426,35;61681,26;46915,97;6813,44;-;-;-;1024335,11
"110010 Guajará-Mirim";591449,46;775387,44;1136335,02;1209564,80;1144592,32;1153345,13;1219205,48;1228989,72;1059436,98;1433448,39;1374973,30;1250554,28;852630,04;14429912,36
"110110 Itapuã do Oeste";-;-;5619,41;14655,44;14904,51;-;-;-;-;26172,10;12051,40;-;-;73402,86
"110011 Jaru";870693,14;1105815,38;964411,78;963639,91;984644,80;985848,89;711961,19;798611,93;1056372,62;938415,68;1418218,16;1479977,30;1004647,64;13283258,42
"110012 Ji-Paraná";3918626,28;4268939,49;5040830,86;4798289,35;4482187,07;4789071,63;4843930,92;4873525,50;4845468,07;4220213,06;4326124,44;4154410,18;2575225,46;57136842,31
"110013 Machadinho D'Oeste";435944,60;460845,61;589978,47;573693,79;570350,74;537195,59;476821,48;209134,49;-;358285,52;748233,49;732871,43;425218,32;6118573,53
"110120 Ministro Andreazza";64015,88;167334,13;176288,24;182161,56;169490,43;174066,50;140252,99;102497,82;73288,00;78039,44;45520,31;49323,13;7484,56;1429762,99
"110130 Mirante da Serra";364823,66;449573,13;383237,79;354756,08;223731,91;310165,34;288505,19;145019,30;112095,65;177238,66;120115,15;114039,29;50222,94;3093524,09
"110140 Monte Negro";615275,52;1062700,49;1034520,60;823984,25;493681,10;411812,72;254829,39;12605,94;-;53079,90;200649,17;216004,25;58108,58;5237251,91
"110014 Nova Brasilândia D'Oeste";526640,29;633336,05;578897,04;523131,17;515635,15;507111,80;485172,02;40989,47;367114,46;307684,36;266327,76;311828,93;119129,01;5182997,51
"110033 Nova Mamoré";136997,18;330373,10;355344,24;289428,85;333684,82;348484,14;256726,05;119364,87;100795,33;123344,45;137255,89;178142,04;158591,86;2868532,82
"110143 Nova União";3429,09;162688,39;150139,70;105500,66;34917,40;41876,86;51833,01;48712,06;31286,32;24943,90;28582,96;32764,16;14630,30;731304,81
"110050 Novo Horizonte do Oeste";95992,73;135300,34;185898,80;177025,65;143850,66;135724,32;178890,74;120876,47;75017,17;113883,69;113266,95;184090,05;58489,34;1718306,91
"110015 Ouro Preto do Oeste";589846,73;1096989,24;1350010,10;917591,01;846120,22;1222625,44;955888,17;1016753,23;1159460,98;1031964,43;1215315,93;1221019,77;166481,57;12790066,82
"110145 Parecis";221,10;-;4943,50;6646,30;9184,06;10092,86;10669,24;10448,14;10664,67;10766,83;10846,13;10840,03;4088,07;99410,93
"110018 Pimenta Bueno";792597,23;906227,84;975348,05;935558,85;727787,22;508696,81;478311,75;477219,28;528794,85;730179,66;1067093,90;931316,43;815927,23;9875059,10
"110146 Pimenteiras do Oeste";-;-;23604,73;26690,46;42986,65;26693,51;13379,12;11765,05;31894,33;38081,41;40782,77;35186,79;4973,19;296038,01
"110020 Porto Velho";7831167,56;16508418,57;21496416,38;24990003,79;22548630,20;35960089,05;45490235,98;53574275,12;58647762,78;58962234,45;62793559,40;68737391,70;47179313,25;524719498,23
"110025 Presidente Médici";497434,20;412732,98;364065,43;216356,91;250734,87;275506,57;234016,21;244300,11;235322,01;416596,03;385873,08;399477,13;149207,03;4081622,56
"110147 Primavera de Rondônia";1594,09;-;-;-;-;-;-;-;-;-;-;-;-;1594,09
"110026 Rio Crespo";-;-;-;-;-;-;22413,12;15474,40;-;3388,67;4273,78;5376,78;2805,58;53732,33
"110028 Rolim de Moura";1928461,23;2142368,82;2043420,85;1714200,38;1782839,83;1328841,25;1576568,54;1684410,58;1013497,30;1708236,90;1494723,14;1661865,82;770000,58;20849435,22
"110029 Santa Luzia D'Oeste";154968,16;248251,53;80461,27;227154,53;155098,10;269972,56;284304,22;279547,18;246665,19;222242,62;252980,21;248081,92;102345,83;2772073,32
"110149 São Francisco do Guaporé";270880,10;234004,40;403503,30;289909,48;132904,25;79181,09;474381,97;431008,32;508177,69;724284,88;655033,55;636427,53;428402,61;5268099,17
"110032 São Miguel do Guaporé";406599,97;461813,15;575102,92;546714,45;518681,33;572615,85;639005,77;444218,30;525695,75;683402,04;590973,55;438468,06;356005,50;6759296,64
"110150 Seringueiras";235665,94;351556,23;341035,17;333984,61;231328,41;101764,07;261283,89;130586,93;138110,89;216993,92;170019,94;144768,33;53165,55;2710263,88
"110155 Teixeirópolis";189,35;20178,75;59584,45;13491,60;49886,00;41331,06;23272,65;22635,48;36713,65;15080,18;9592,25;38216,42;13305,11;343476,95
"110160 Theobroma";-;95354,43;102359,66;34867,69;34541,35;7481,08;16920,28;46299,02;20324,59;33312,63;61828,07;54526,40;19143,25;526958,45
"110170 Urupá";10011,20;32447,34;194283,76;212429,73;45658,72;48270,17;39077,70;167316,05;97717,70;117426,45;78373,76;106109,36;30238,89;1179360,83
"110175 Vale do Anari";2104,84;54257,70;44469,18;56631,66;31118,95;40323,70;35078,02;17269,97;38499,78;47118,98;32301,78;34526,25;-;433700,81
"110180 Vale do Paraíso";2920,42;75411,23;82859,86;59143,75;63500,01;50870,51;43782,14;36879,14;34480,49;33417,43;47869,92;24156,86;15647,46;570939,22
"110030 Vilhena";2582090,37;2580620,82;3614294,48;3886582,30;4520204,75;4330591,36;5332713,80;5381082,99;4079924,69;4618173,46;5344135,47;6036679,42;4052215,20;56359309,11
"120001 Acrelândia";75436,61;71666,31;96201,42;31883,57;30682,16;76492,20;59797,38;48367,36;59370,98;22716,20;33821,53;34967,32;19834,55;661237,59
"120005 Assis Brasil";81570,24;95408,96;135192,54;106385,96;84743,06;81641,86;48194,27;66602,56;37097,62;54894,27;61843,32;51979,45;54511,13;960065,24
"120010 Brasiléia";503282,10;554261,73;750442,63;743132,12;785489,70;873946,37;937942,39;882625,86;814707,81;884130,90;901664,50;812796,26;545615,32;9990037,69
"120020 Cruzeiro do Sul";3957766,03;4047609,42;4870979,93;4792079,99;5101012,15;5542250,41;5927041,56;4809023,99;4511431,41;4020347,25;4111793,42;4233547,74;2704478,24;58629361,54
"120030 Feijó";450908,97;397075,91;449854,32;292968,57;308477,13;145406,35;210658,27;14265,63;6165,08;63385,95;150046,91;97126,60;7941,56;2594281,25
"120032 Jordão";413,69;-;18024,40;3830,92;8431,27;-;-;-;2038,66;-;-;-;-;32738,94
"120033 Mâncio Lima";143837,26;100440,47;122245,93;117933,58;99257,26;115517,87;116133,82;234530,22;163132,44;98669,08;69137,61;34618,94;8368,74;1423823,22
"120034 Manoel Urbano";128535,11;170742,02;198773,76;161352,43;160721,20;166209,26;163834,68;163194,87;143544,25;121517,33;75713,82;97010,28;36986,29;1788135,30
"120035 Marechal Thaumaturgo";-;6722,64;-;-;-;-;12818,07;2156,09;45267,70;-;17739,84;35631,30;46555,63;166891,27
"120038 Plácido de Castro";224799,93;151905,56;251323,39;234920,99;192700,68;183298,03;193464,36;219219,72;231554,73;183974,75;143570,33;177254,78;63349,97;2451337,22
"120039 Porto Walter";-;3780,41;21585,99;19224,20;44479,58;63910,91;59403,16;51137,65;57246,36;100393,18;75610,97;5364,38;3119,43;505256,22
"120040 Rio Branco";14660763,01;19497859,90;19466730,19;24419681,77;23459570,56;23634712,23;25160817,54;28336509,20;32137927,12;29402765,47;26315552,56;27057801,94;17497061,11;311047752,60
"120042 Rodrigues Alves";77550,17;24165,86;20616,59;68795,20;78594,39;85261,20;124613,91;87822,01;88556,70;56989,01;77691,21;51600,46;64412,78;906669,49
"120043 Santa Rosa do Purus";-;56865,18;91938,97;94197,88;63799,48;35925,14;19029,78;27096,17;82889,31;29420,64;29821,35;33290,35;-;564274,25
"120050 Sena Madureira";863793,20;1015783,10;1134365,27;1198713,58;1220244,97;1224924,21;1326154,92;1008970,13;984600,12;988980,28;978220,07;758364,21;412622,13;13115736,19
"120045 Senador Guiomard";262972,86;254928,21;181809,59;232319,81;250251,15;161404,10;245152,02;261554,23;257327,51;141233,24;206499,41;158877,54;44849,20;2659178,87
"120060 Tarauacá";658288,72;622125,21;680550,02;695937,63;686737,24;790581,41;997046,71;825697,25;668605,44;784397,43;940192,55;874234,18;356217,90;9580611,69
"120070 Xapuri";275225,79;267787,30;282708,12;296700,41;354181,51;424412,32;437217,52;223245,99;195686,34;291710,44;243646,41;195133,23;102995,68;3590651,06
"130002 Alvarães";135410,23;79847,72;164373,53;11775,99;141234,91;170227,39;193391,27;236365,58;167792,15;252940,58;302141,49;307996,01;241104,39;2404601,24
"130006 Amaturá";215786,32;203941,23;112228,54;71437,16;89141,13;93512,23;54773,43;1309,50;31027,28;44212,02;132456,41;153819,93;118769,19;1322414,37
"130008 Anamã";126133,33;147853,17;137527,99;123767,01;94314,26;83715,40;44032,08;68122,38;103015,25;130684,12;86613,79;147245,45;-;1293024,23
"130010 Anori";239016,37;165035,58;145174,80;93951,06;21675,11;6990,05;-;-;-;96251,30;189612,04;214717,14;146200,55;1318624,00
"130014 Apuí";405088,18;427081,94;409057,67;392826,74;387042,82;435399,42;375164,91;501219,11;414582,40;392985,26;383526,93;396678,59;233901,72;5154555,69
"130020 Atalaia do Norte";171971,67;74621,95;129675,04;87070,38;89893,26;3770,77;-;105697,16;133286,30;170668,93;140563,26;160391,20;109948,85;1377558,77
"130030 Autazes";553944,50;232849,92;485592,84;382646,49;389051,64;242936,18;307053,99;381660,52;394594,00;255064,87;457584,05;422101,12;320431,70;4825511,82
"130040 Barcelos";264392,64;246050,79;211260,14;229871,88;205431,08;247451,82;199981,86;190633,12;323104,59;322726,98;257952,31;235458,22;93934,49;3028249,92
"130050 Barreirinha";362736,29;297406,83;347871,82;346617,40;290961,84;359437,15;399177,69;362368,47;379432,41;257256,27;605137,32;361451,82;-;4369855,31
"130060 Benjamin Constant";489833,79;543826,80;407341,92;431191,47;473398,54;447054,62;439823,73;336399,50;309549,19;309658,66;362935,49;935639,46;486948,44;5973601,61
"130063 Beruri";83961,76;91673,95;103380,61;115859,89;216808,00;238320,20;232615,76;228240,42;154969,33;212150,85;120632,70;141552,23;59313,27;1999478,97
"130068 Boa Vista do Ramos";184724,57;160579,21;220641,33;186587,70;193330,97;155012,24;16587,83;27797,64;104855,83;46022,77;218121,88;235026,32;206334,99;1955623,28
"130070 Boca do Acre";465999,50;223757,14;190773,67;501159,60;621595,54;509732,31;572790,41;604692,09;520979,32;428790,67;632763,73;653049,41;465803,26;6391886,65
"130080 Borba";422365,66;444334,14;309471,65;589361,45;604734,79;595624,44;599841,95;768153,80;732448,33;619181,09;848722,05;851242,36;548933,22;7934414,93
"130083 Caapiranga";114046,47;101155,07;69208,63;83712,61;80746,71;132444,32;64751,77;143970,94;124552,54;85487,57;98087,60;104168,00;143282,07;1345614,30
"130090 Canutama";129323,73;127573,46;194117,26;15865,55;47413,09;28427,09;81880,27;141383,50;143626,45;164407,90;184204,78;174891,78;75452,22;1508567,08
"130100 Carauari";447032,13;415408,08;541736,37;308482,81;264482,17;347250,45;226400,22;381731,27;258044,35;321954,58;465221,97;638096,93;513435,19;5129276,52
"130110 Careiro";208517,40;182197,31;116527,22;91201,65;27326,03;65562,17;50476,29;85587,22;50442,11;7121,38;46660,30;428391,80;310588,61;1670599,49
