semana_epidemiologica,uf,confirmados_num,confirmados_%
6,Alagoas,1,0.3
6,Pernambuco,7,2.08
6,Rio Grande do Sul,11,3.26
6,Santa Catarina,22,6.53
6,Paraná,64,18.99
6,Rio de Janeiro,93,27.3
6,São Paulo,136,40.36
6,Pará,4,1.19
10,São Paulo,280,30.8
10,Alagoas,4,0.44
10,Rio de Janeiro,230,25.3
10,Pará,192,21.12
10,Paraná,113,12.43
10,Santa Catarina,48,5.28
10,Minas Gerais,3,0.33
10,Rio Grande do Sul,21,2.31
10,Pernambuco,18,1.98
15,Pará,970,40.9
15,Tocantins,1,0.0
15,Mato Grosso do Sul,1,0.0
15,Distrito Federal,2,0.1
15,Rondônia,2,0.1
15,Ceará,1,0.0
15,Maranhão,3,0.1
15,São Paulo,532,22.5
15,Rio de Janeiro,515,21.7
15,Paraná,160,6.8
15,Sergipe,3,0.1
15,Pernambuco,31,1.3
15,Rio Grande do Sul,30,1.3
15,Santa Catarina,96,4.1
15,Alagoas,5,0.2
15,Amapá,4,0.2
15,Amazonas,4,0.2
15,Bahia,3,0.1
15,Minas Gerais,6,0.3
16,Pará,1227,43.7
16,Tocantins,1,0.0
16,Mato Grosso do Sul,1,0.0
16,Ceará,1,0.0
16,Distrito Federal,2,0.1
16,Rondônia,2,0.1
16,Bahia,3,0.1
16,Amazonas,4,0.1
16,Amapá,4,0.1
16,Sergipe,3,0.1
16,Minas Gerais,7,0.2
16,Alagoas,5,0.2
16,São Paulo,541,19.3
16,Paraná,176,6.3
16,Santa Catarina,99,3.5
16,Rio de Janeiro,659,23.5
16,Rio Grande do Sul,30,1.1
16,Maranhão,9,0.3
16,Pernambuco,31,1.1
17,Amapá,4,0.1
17,Tocantins,1,0.0
17,Mato Grosso do Sul,1,0.0
17,Ceará,1,0.0
17,Distrito Federal,2,0.1
17,Bahia,2,0.1
17,Sergipe,3,0.1
17,Amazonas,4,0.1
17,Alagoas,5,0.2
17,Rondônia,2,0.1
17,Maranhão,9,0.3
17,Pará,1227,42.2
17,Rio de Janeiro,717,24.6
17,São Paulo,577,19.8
17,Paraná,187,6.4
17,Minas Gerais,7,0.2
17,Santa Catarina,99,3.4
17,Pernambuco,31,1.1
17,Rio Grande do Sul,31,1.1
19,Rondônia,2,0.1
19,Tocantins,1,0.0
19,Mato Grosso do Sul,1,0.0
19,Ceará,1,0.0
19,Distrito Federal,2,0.1
19,Bahia,2,0.1
19,Maranhão,9,0.1
19,Amazonas,4,0.2
19,Pará,1272,40.9
19,Rio de Janeiro,874,21.7
19,São Paulo,604,22.5
19,Goiás,4,0.0
19,Santa Catarina,103,4.1
