id;uf;confirmados_num;confirmados_%;total_de_municípios;incidencia_100_mil_hab;semanas_transcorridas_do_ultimo_caso_confirmado
1;Pará;1.272;40,9;53;26,75;1
2;Rio de Janeiro;874;21,7;32;6,26;1
3;São Paulo;604;22,5;78;2,13;1
4;Paraná;189;6,8;23;4,57;1
5;Santa Catarina;103;4,1;14;5,14;4
6;Pernambuco;32;1,3;12;0,85;9
7;Rio Grande do Sul;31;1,3;7;1,34;8
8;Maranhão;9;0,1;2;17,23;5
9;Sergipe;8;0,1;2;5,16;1
10;Minas Gerais;7;0,3;3;0,24;7
11;Alagoas;5;0,2;3;0,29;10
12;Amapá;4;0,2;2;0,77;9
13;Amazonas;4;0,2;1;0,21;13
14;Goiás;4;-;3;0,78;3
15;Bahia;2;0,1;1;1,16;13
16;Rondônia;2;0,1;-;-;-
17;Distrito Federal;2;0,1;1;0,08;12
18;Ceará;1;0,0;1;5,48;10
19;Mato Grosso do Sul;1;0,0;1;0,12;12
20;Tocantins;1;0,0;1;1,98;15
