id;uf;confirmados_num;confirmados_%;total_de_municípios;incidencia_100_mil_hab;semanas_transcorridas_do_ultimo_caso_confirmado
1;Pará;1.918;47,7;56;39,69;5
2;Rio de Janeiro;983;24,5;33;7,04;7
3;São Paulo;673;16,8;80;2,36;2
4;Paraná;202;5,0;25;4,84;5
5;Santa Catarina;109;2,7;15;5,28;4
6;Rio Grande do Sul;36;0,9;8;1,50;8
7;Pernambuco;32;0,8;12;0,85;13
8;Minas Gerais;12;0,3;7;0,31;6
9;Maranhão;9;0,2;2;17,23;9
10;Sergipe;7;0,2;2;5,16;9
11;Bahia;6;0,1;4;1,43;7
12;Goiás;5;0,1;4;0,27;9
14;Mato Grosso do Sul;5;0,1;1;0,49;11
13;Amapá;4;0,1;2;0,77;13
15;Amazonas;4;0,1;1;0,21;15
16;Alagoas;3;0,1;3;0,29;15
17;Ceará;3;0,1;1;16,44;8
18;Rondônia;2;0,0
19;Distrito Federal;2;0,0;1;0,08;16
20;Mato;Grosso;1;0,0;1;1,98;12
21;Tocantins;1;0,0;1;1,98;19
