id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;2.472;53,3;2;50,0
2;Rio de Janeiro;1.023;22,0;1;25,0
3;São Paulo;681;14,7;1;25,0
4;Paraná;202;4,4;0;0,0
5;Santa Catarina;112;2,4;0;0,0
6;Rio Grande do Sul;37;0,8;0;0,0
7;Pernambuco;33;0,7;0;0,0
8;Maranhão;17;0,4;0;0,0
9;Amapá;13;0,3;0;0,0
10;Minas Gerais;12;0,3;0;0,0
11;Sergipe;7;0,2;0;0,0
12;Bahia;6;0,1;0;0,0
13;Goiás;5;0,1;0;0,0
14;Mato Grosso do Sul;5;0,1;0;0,0
15;Amazonas;4;0,1;0;0,0
16;Alagoas;3;0,1;0;0,0
17;Ceará;3;0,1;0;0,0
18;Rondônia;2;0,0;0;0,0
19;Distrito Federal;2;0,0;0;0,0
20;Mato;Grosso;1;0,0;0;0,0
21;Tocantins;1;0,0;0;0,0
