id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;3.237;57,4;3;60,0
2;Rio de Janeiro;1.192;21,1;1;20,0
3;São Paulo;688;12,2;1;20,0
4;Paraná;248;4,4;0;0,0
5;Santa Catarina;111;2,0;0;0,0
6;Rio Grande do Sul;37;0,7;0;0,0
7;Pernambuco;33;0,6;0;0,0
8;Maranhão;17;0,3;0;0,0
9;Amapá;21;0,4;0;0,0
10;Minas Gerais;12;0,2;0;0,0
11;Sergipe;8;0,1;0;0,0
12;Bahia;6;0,1;0;0,0
13;Goiás;8;0,1;0;0,0
14;Mato Grosso do Sul;5;0,1;0;0,0
15;Distrito Federal;5;0,1;0;0,0
16;Amazonas;4;0,1;0;0,0
17;Alagoas;3;0,1;0;0,0
18;Ceará;3;0,1;0;0,0
19;Rondônia;2;0,0;0;0,0
20;Mato Grosso;1;0,0;0;0,0
21;Tocantins;1;0,0;0;0,0
