id;uf;confirmados_num;confirmados_%;obitos_num;obitos_%
1;Pará;5.166;65,2;81;87,23;1
2;Rio de Janeiro;1329;16,8;34;9,66;8
3;São Paulo;791;10,0;87;2,69;2
4;Paraná;311;3,9;26;7,27;9
5;Santa Catarina;110;1,4;14;5,53;21
6;Amapá;60;0,8;3;11,13;6
7;Rio Grande do Sul;37;0,5;8;1,62;21
8;Pernambuco;34;0,4;11;1,01;23
9;Minas Gerais;21;0,3;9;0,57;22
10;Maranhão;17;0,2;2;32,54;18
11;Sergipe;8;0,1;2;5,89;18
12;Goiás;8;0,1;4;0,27;22
13;Bahia;7;0,1;6;0,21;20
14;Mato Grosso do Sul;7;0,1;1;75,87;21
15;Rondônia;6;0,1;35
16;Distrito Federal;5;0,1;1;0,19;26
17;Amazonas;4;0,1;1;0,21;28
18;Ceará;3;0,0;1;16,44;21
19;Alagoas;3;0,0;3;0,29;28
20;Tocantins;1;0,0;1;1,98;32
21;Mato Grosso;1;0,0;1;1,98;25
