"","Município","Confirmados","Novos Confirmados","Incidência /100 mil hab","Óbitos","Novos Óbitos","Mortalidade /100 mil hab"
"","Porto Alegre","45446","377","3062.9","1397","21","94.2"
"","Caxias do Sul","12561","333","2458.6","186","0","36.4"
"","Canoas","10135","91","2924.0","344","3","99.2"
"","Passo Fundo","8731","73","4295.2","178","0","87.6"
"","São Leopoldo","7992","19","3374.5","166","0","70.1"
"","Novo Hamburgo","7955","82","3223.9","208","2","84.3"
"","Santa Maria","6520","83","2311.0","106","0","37.6"
"","Gravataí","6378","73","2265.6","171","1","60.7"
"","Pelotas","6074","125","1773.9","158","0","46.1"
"","Alvorada","5484","39","2607.6","181","1","86.1"
"","Rio Grande","5367","60","2543.5","137","0","64.9"
"","Bento Gonçalves","4538","42","3767.4","120","0","99.6"
"","Lajeado","4329","23","5152.7","49","1","58.3"
"","Cachoeirinha","4228","35","3245.0","106","0","81.4"
"","Sapucaia do Sul","3383","15","2398.0","92","0","65.2"
"","Erechim","3302","100","3119.2","26","1","24.6"
"","Esteio","3259","16","3917.0","95","1","114.2"
"","Campo Bom","3084","52","4622.9","52","0","77.9"
"","Sapiranga","2961","1","3622.7","61","0","74.6"
"","Osório","2824","29","6139.9","34","0","73.9"
"","Viamão","2616","12","1025.0","187","1","73.3"
"","Santa Rosa","2375","34","3242.1","37","0","50.5"
"","Marau","2358","15","5339.6","30","0","67.9"
"","Farroupilha","2201","21","3043.0","20","1","27.7"
"","Ijuí","2161","28","2588.8","38","0","45.5"
"","Gramado","2085","13","5754.6","33","0","91.1"
"","Uruguaiana","2077","49","1635.8","32","0","25.2"
"","Cruz Alta","2068","18","3429.6","36","0","59.7"
"","Venâncio Aires","2000","26","2795.1","23","0","32.1"
"","Parobé","1986","4","3408.2","47","0","80.7"
"","Santa Cruz do Sul","1846","27","1415.5","15","1","11.5"
"","Carazinho","1824","13","2936.7","27","1","43.5"
"","Guaíba","1740","7","1772.9","66","0","67.2"
"","Camaquã","1678","25","2532.4","26","0","39.2"
"","Santo Ângelo","1547","3","1993.7","42","0","54.1"
"","Bagé","1536","53","1267.9","19","0","15.7"
"","Teutônia","1396","1","4200.8","11","0","33.1"
"","Garibaldi","1396","2","3980.6","13","0","37.1"
"","Montenegro","1370","4","2099.2","23","1","35.2"
"","Ibirubá","1356","0","6663.4","18","0","88.5"
"","Canela","1349","7","2997.9","25","0","55.6"
"","Eldorado do Sul","1331","9","3223.9","28","0","67.8"
"","Capão da Canoa","1253","21","2362.0","32","0","60.3"
"","Alegrete","1235","8","1678.2","20","1","27.2"
"","São Gabriel","1211","7","1949.9","26","0","41.9"
"","Estância Velha","1208","0","2414.9","39","0","78.0"
"","Taquara","1208","6","2102.1","40","0","69.6"
"","Torres","1195","19","3085.3","14","0","36.1"
"","Charqueadas","1153","6","2826.7","18","0","44.1"
"","São Borja","1125","6","1866.2","30","0","49.8"
"","Três Passos","1084","0","4534.4","22","0","92.0"
"","Carlos Barbosa","1060","17","3553.1","14","0","46.9"
"","Igrejinha","1044","17","2829.3","28","0","75.9"
"","Tramandaí","1023","4","1978.1","29","0","56.1"
"","Serafina Corrêa","1003","3","5730.8","3","1","17.1"
"","Guaporé","1001","5","3890.9","9","0","35.0"
"","Palmeira das Missões","956","42","2870.6","17","0","51.0"
"","Nova Prata","947","2","3474.3","7","0","25.7"
"","Vacaria","936","6","1413.5","22","1","33.2"
"","Frederico Westphalen","887","30","2832.7","11","0","35.1"
"","Santo Antônio da Patrulha","879","6","2049.2","31","0","72.3"
"","Santiago","877","12","1774.4","13","0","26.3"
"","Sarandi","839","10","3426.0","17","0","69.4"
"","Estrela","830","6","2432.9","10","0","29.3"
"","Taquari","821","14","3056.4","17","0","63.3"
"","Tapejara","806","19","3342.9","6","0","24.9"
"","Nova Santa Rita","772","2","2634.8","19","1","64.8"
"","Rolante","757","3","3545.8","12","0","56.2"
"","Dois Irmãos","748","6","2289.5","12","0","36.7"
"","Imbé","740","58","3245.6","22","0","96.5"
"","Cachoeira do Sul","734","12","892.9","7","0","8.5"
"","São Sebastião do Caí","734","13","2857.7","13","0","50.6"
"","Portão","733","9","1976.9","16","0","43.2"
"","Santana do Livramento","719","19","933.4","7","0","9.1"
"","Flores da Cunha","703","5","2286.6","7","0","22.8"
"","Antônio Prado","696","16","5333.3","11","1","84.3"
"","Itaqui","685","0","1820.8","7","0","18.6"
"","Caçapava do Sul","676","8","2010.5","16","1","47.6"
"","Lagoa Vermelha","667","13","2398.7","13","0","46.8"
"","Nova Araçá","644","0","13532.3","3","0","63.0"
"","Encantado","636","4","2801.0","13","0","57.3"
"","Arroio do Meio","623","5","2994.5","1","0","4.8"
"","Veranópolis","612","11","2332.2","5","0","19.1"
"","Ivoti","590","1","2428.7","6","0","24.7"
"","Três Coroas","589","7","2087.2","23","0","81.5"
"","Três de Maio","587","18","2455.5","5","0","20.9"
"","Nova Petrópolis","563","2","2636.6","2","0","9.4"
"","Nova Hartz","563","10","2604.7","12","0","55.5"
"","Rosário do Sul","539","11","1367.3","2","0","5.1"
"","Espumoso","528","0","3387.2","6","0","38.5"
"","São Marcos","523","3","2426.2","6","0","27.8"
"","Triunfo","511","1","1730.0","18","0","60.9"
"","Paraí","510","2","6660.6","5","0","65.3"
"","Sananduva","510","7","3134.6","6","0","36.9"
"","Nova Bassano","508","0","5123.0","4","0","40.3"
"","São Luiz Gonzaga","508","11","1517.9","12","1","35.9"
"","Seberi","498","5","4632.6","3","0","27.9"
"","Rio Pardo","487","2","1272.4","14","0","36.6"
"","Santa Vitória do Palmar","480","0","1617.5","4","0","13.5"
"","São José do Norte","465","3","1686.7","11","0","39.9"
