 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Ano do nascimento
Período:1994-2018
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"11 Rondônia";29557;28984;32233;30070;30964;31077;31307;28236;29236;28809;28927;28081;24925;22996;26791;26083;25835;27658;26513;27097;27560;27918;26602;27503;28091;703053
"12 Acre";12127;12635;14236;14778;13291;14939;15228;14899;15841;15986;16584;17482;16448;16183;17994;16892;16495;17817;16700;17075;17139;16980;15773;16358;16543;396423
"13 Amazonas";47780;47966;49112;56070;57180;62037;67646;70252;70671;70751;71345;73488;75584;73469;75030;75729;74188;76202;77434;79041;81145;80097;76703;78066;78087;1745073
"14 Roraima";4302;7020;7378;8101;8223;9669;9744;9600;8990;10160;9742;9694;9592;9582;10103;9673;9738;9945;10601;10814;11120;11412;11376;11737;13344;241660
"15 Pará";92213;96159;99173;109095;116551;127417;126340;134742;136000;144812;142894;145540;150202;150147;151262;143140;140687;141974;137837;139416;143503;143657;137681;138684;141819;3330945
"16 Amapá";10859;12123;14033;14319;14450;13592;14238;14609;14196;14764;13971;14205;14714;14425;15105;14298;15008;15114;14895;15710;16271;15750;15521;15399;15864;363433
"17 Tocantins";20140;22126;24086;25562;25673;26498;26205;27050;26274;26053;25673;26368;26028;25011;25713;24911;24471;25035;24395;24119;24944;25110;23870;24935;25480;625730
"21 Maranhão";58518;56387;61056;75392;79272;96587;100811;108527;117917;127920;126518;130266;127724;127307;128302;123635;119566;121109;116039;115000;117071;117564;110493;112985;117156;2693122
"22 Piauí";32293;38209;39142;32422;46753;49436;58615;58588;56332;55105;54747;56866;55342;53214;52664;50996;49424;50144;47962;46419;47941;49253;46986;48551;49490;1226894
"23 Ceará";87021;119228;117264;135356;139743;143101;143393;149067;143242;140083;137335;140035;135020;133839;133917;131393;128831;128592;126868;124876;128681;132516;126246;127797;131491;3284935
"24 Rio Grande do Norte";30328;59886;57744;57088;57394;57937;56444;53526;53250;52312;50805;52330;48122;48072;49817;48931;47668;48101;46993;46798;48111;49099;45366;46222;48107;1260451
"25 Paraíba";35026;26642;50115;40419;52278;54510;57427;64957;64006;64115;62200;64294;60232;59456;61964;60021;58699;58741;56770;56854;57535;59089;56083;57493;60205;1399131
"26 Pernambuco";143738;161290;156509;152932;161249;164601;163405;164104;156053;151677;149631;152095;146108;143095;145195;141815;136591;140079;141382;141453;143489;145024;130733;135932;138317;3706497
"27 Alagoas";51985;66642;65225;67085;65332;65517;65763;67805;64457;63032;59258;60662;57510;57406;58076;55471;54164;54281;52510;52488;51859;52257;48164;50368;52496;1459813
"28 Sergipe";36856;40316;42055;42416;41525;41118;40716;39842;37085;36884;35827;37370;37061;35801;36633;35109;34016;34925;34108;34228;34369;34917;32218;33867;34256;923518
"29 Bahia";141343;163494;198253;229256;234630;242721;239530;235725;237375;239017;234454;231065;220187;220398;221700;217727;212201;215032;209999;203342;204034;206655;199830;204096;205332;5367396
"31 Minas Gerais";62144;122796;175943;192014;295364;307751;300958;298538;284558;284904;277691;277468;266143;259505;260916;252676;255126;259863;260544;258635;267130;268305;253520;260959;263640;6267091
"32 Espírito Santo";54194;59790;55642;60188;58526;60800;58380;57092;55076;53417;53243;52399;51449;51020;51852;51457;51853;53053;52835;54065;56548;56941;53413;55846;56721;1375800
"33 Rio de Janeiro";268173;266463;268549;268968;258284;268213;259118;242360;232232;232255;229901;223094;218435;216876;215844;216625;215262;220603;222859;224031;233584;236960;219129;223224;220499;5901541
"35 São Paulo";689577;691370;699013;701947;693413;714428;687779;632483;623302;610555;618080;618880;603368;595408;601795;598473;601352;610222;616608;610896;625687;634026;601437;611803;606146;15898048
"41 Paraná";201530;195838;196429;192757;185378;186675;179462;167270;165125;157333;159636;160324;153598;147554;151092;149217;152051;152902;153945;155758;159915;160947;155066;157701;156201;4153704
"42 Santa Catarina";85531;98776;100310;97717;96123;98854;94828;88097;85730;83177;85475;84584;84133;81903;85262;83489;84611;87481;88772;89875;93232;97223;95313;98335;99609;2268440
"43 Rio Grande do Sul";188666;188351;182140;180760;177538;184797;176719;160590;155261;149165;153015;147199;141331;133401;135143;133652;133243;137710;138941;141350;143315;148359;141411;141568;140047;3853672
"50 Mato Grosso do Sul";45213;45425;43484;43420;41917;41859;40490;40070;39933;39248;41567;41424;39515;38621;41229;40274;40132;42152;42252;42296;44058;44142;42432;44747;44275;1050175
"51 Mato Grosso";35736;48581;50052;50335;49042;48933;49478;47575;47564;48539;51205;52410;49522;47382;49794;48477;48929;51218;51256;53039;56499;56673;53531;57271;58649;1261690
"52 Goiás";63583;100794;99482;101336;99526;94017;94746;92979;93897;92081;91231;91556;87483;85159;87462;87485;87476;89742;93274;94822;99798;100672;95563;97520;98872;2320556
"53 Distrito Federal";43138;47438;46767;46855;48418;49349;47991;46891;45799;46097;45593;45917;45152;44098;44173;43932;44251;43465;43497;44530;44721;46122;43340;44568;44195;1136297
"Total";2571571;2824729;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932;74215088
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
