"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"17,15";"93,85";"94,94";"115,24";"130,63";"115,99";"125,36";"116,70";"103,49";"102,29";"100,41";"102,72";"105,40";"73,12";"124,13";"99,42";"99,69";"86,94";"77,98";"86,47";"62,08";"93,16"
"12 Acre";"0";"27,55";"67,82";"104,56";"99,40";"123,22";"95,12";"90,84";"109,45";"94,17";"103,45";"96,87";"105,29";"90,28";"44,98";"73,37";"61,74";"68,12";"61,43";"71,37";"80,57";"41,82";"73,55"
"13 Amazonas";"0";"14,84";"27,69";"71,27";"91,30";"86,06";"104,03";"103,37";"110,07";"101,56";"103,13";"100,11";"94,67";"103,39";"61,77";"94,57";"83,67";"78,32";"66,75";"75,44";"82,37";"51,08";"78,35"
"14 Roraima";"0";"25,35";"61,93";"75,26";"110,22";"110,32";"116,01";"94,23";"97,31";"95,51";"100,61";"94,49";"97,98";"87,83";"43,46";"96,55";"97,80";"85,97";"85,82";"86,31";"80,82";"52,82";"82,54"
"15 Pará";"0";"10,14";"47,94";"120,34";"124,98";"143,10";"116,35";"113,05";"118,49";"111,83";"117,62";"110,95";"109,25";"102,20";"51,13";"79,60";"51,82";"64,78";"57,57";"61,85";"71,35";"49,25";"76,55"
"16 Amapá";"0";"5,25";"131,68";"89,81";"114,50";"129,76";"99,34";"90,41";"98,29";"93,02";"100,57";"92,10";"93,00";"91,55";"58,08";"93,01";"78,27";"89,80";"62,85";"64,05";"75,32";"35,14";"78,19"
"17 Tocantins";"0";"0,17";"82,17";"88,48";"115,03";"97,41";"101,00";"100,96";"107,82";"96,40";"103,00";"95,33";"91,41";"91,60";"69,74";"92,40";"69,40";"89,49";"72,65";"78,67";"85,71";"63,65";"82,16"
"21 Maranhão";"0";"82,66";"80,13";"83,40";"102,32";"106,30";"113,67";"110,54";"119,71";"113,90";"118,10";"109,99";"112,84";"98,21";"58,62";"100,17";"78,96";"59,76";"50,25";"52,26";"53,60";"32,06";"79,22"
"22 Piauí";"0";"72,25";"95,28";"95,22";"111,58";"116,01";"102,50";"104,90";"107,07";"100,90";"102,35";"97,70";"97,02";"98,33";"69,72";"76,20";"64,12";"69,35";"51,85";"55,81";"57,72";"42,20";"78,86"
"23 Ceará";"0";"85,19";"109,94";"104,11";"119,11";"112,89";"110,35";"105,30";"107,88";"103,02";"105,67";"103,91";"110,92";"97,61";"70,52";"132,33";"99,75";"99,84";"72,40";"70,17";"67,84";"50,14";"95,29"
"24 Rio Grande do Norte";"0";"46,55";"39,50";"75,35";"116,80";"110,20";"100,34";"107,58";"107,25";"94,73";"101,01";"100,72";"99,47";"98,69";"69,20";"97,75";"84,93";"66,93";"48,35";"57,44";"59,20";"43,98";"77,61"
"25 Paraíba";"0";"67,12";"95,42";"96,56";"108,34";"114,45";"107,30";"112,97";"116,26";"102,50";"104,40";"119,28";"102,34";"92,72";"69,93";"94,92";"72,04";"71,49";"61,09";"60,07";"69,34";"43,56";"83,80"
"26 Pernambuco";"0";"29,21";"69,88";"84,64";"119,59";"113,70";"109,15";"110,07";"113,35";"105,71";"111,23";"104,79";"113,67";"104,59";"72,35";"97,47";"90,34";"83,67";"64,70";"62,49";"64,15";"41,09";"82,25"
"27 Alagoas";"0";"11,13";"59,09";"97,43";"99,05";"123,77";"110,17";"103,90";"99,63";"92,94";"105,33";"98,58";"89,95";"93,18";"65,34";"98,00";"87,18";"75,57";"66,33";"66,38";"61,81";"42,68";"78,52"
"28 Sergipe";"0";"94,08";"102,22";"103,48";"132,46";"120,41";"93,82";"95,89";"106,25";"99,53";"102,66";"98,24";"98,03";"97,34";"77,81";"84,57";"82,51";"79,38";"59,17";"61,64";"57,37";"43,38";"85,59"
"29 Bahia";"0";"76,30";"104,80";"88,35";"107,79";"132,66";"117,98";"114,49";"108,20";"102,05";"108,09";"102,97";"100,29";"97,88";"71,51";"98,39";"80,79";"67,13";"54,13";"51,79";"53,53";"40,78";"83,29"
"31 Minas Gerais";"0";"92,70";"101,89";"98,80";"103,62";"115,20";"107,46";"105,77";"109,28";"98,69";"105,45";"99,72";"100,80";"104,88";"76,96";"91,78";"79,34";"93,04";"63,41";"64,73";"65,46";"55,48";"88,16"
"32 Espírito Santo";"0";"68,74";"99,75";"101,04";"126,19";"113,96";"110,12";"109,37";"104,49";"100,36";"102,47";"99,72";"103,76";"105,07";"76,97";"101,84";"90,80";"88,06";"56,53";"61,10";"64,44";"51,17";"87,58"
"33 Rio de Janeiro";"0";"89,41";"90,78";"96,23";"114,46";"105,97";"107,75";"102,12";"100,54";"95,46";"96,69";"94,98";"107,16";"97,18";"69,74";"101,89";"95,13";"85,08";"60,64";"59,58";"60,47";"33,12";"84,02"
"35 São Paulo";"0";"105,38";"105,13";"105,13";"119,88";"104,30";"102,04";"101,19";"100,23";"96,68";"99,13";"94,91";"100,34";"99,54";"72,24";"99,66";"94,99";"83,89";"63,70";"70,17";"67,05";"46,42";"88,37"
"41 Paraná";"0";"91,12";"101,36";"101,72";"107,13";"93,89";"99,78";"101,21";"103,17";"94,48";"100,19";"95,64";"98,59";"99,94";"75,86";"98,22";"84,34";"91,93";"80,73";"79,74";"88,56";"66,65";"92,09"
"42 Santa Catarina";"0";"95,57";"101,09";"91,38";"115,37";"97,79";"101,01";"100,38";"102,40";"96,43";"103,11";"101,30";"99,79";"100,35";"70,71";"99,58";"89,28";"98,98";"80,16";"81,45";"92,83";"67,39";"93,05"
"43 Rio Grande do Sul";"0";"79,75";"22,85";"86,54";"110,93";"100,61";"101,40";"101,05";"104,53";"95,32";"95,32";"93,63";"93,87";"91,61";"72,66";"93,23";"72,37";"88,01";"73,84";"80,16";"87,24";"66,05";"85,92"
"50 Mato Grosso do Sul";"0";"114,77";"99,93";"100,22";"119,49";"98,49";"97,99";"104,28";"106,44";"92,66";"102,13";"100,22";"96,29";"100,76";"64,83";"120,82";"87,77";"96,74";"77,44";"93,66";"92,98";"61,92";"94,79"
"51 Mato Grosso";"0";"61,41";"88,61";"94,64";"120,92";"110,41";"109,58";"109,83";"114,80";"100,37";"104,65";"97,70";"98,48";"99,32";"65,83";"106,96";"85,33";"89,25";"73,72";"76,59";"84,35";"66,51";"89,78"
"52 Goiás";"0";"82,19";"95,71";"99,18";"109,98";"113,78";"106,42";"109,78";"116,26";"106,10";"106,90";"106,82";"115,54";"107,68";"73,41";"100,13";"75,40";"85,11";"70,81";"74,69";"79,75";"57,66";"88,99"
"53 Distrito Federal";"134,17";"101,96";"102,22";"99,92";"101,66";"96,70";"101,14";"98,91";"95,26";"91,52";"95,78";"92,41";"89,52";"92,85";"84,51";"98,52";"66,45";"130,05";"74,01";"85,16";"85,59";"61,73";"90,99"
"Total";"6692,10";"77,50";"88,43";"96,92";"112,95";"110,93";"106,55";"105,35";"106,80";"99,81";"103,74";"99,93";"102,39";"99,50";"70,18";"98,62";"84,46";"83,72";"64,89";"67,80";"70,02";"49,55";"86,04"
