"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"38,30";"112,79";"94,63";"94,97";"76,25";"53,43";"70,74";"51,26";"74,13"
"12 Acre";"12,84";"59,30";"49,30";"64,45";"52,16";"59,06";"75,68";"36,30";"50,92"
"13 Amazonas";"30,44";"84,84";"77,43";"75,80";"59,11";"58,52";"72,71";"36,43";"62,33"
"14 Roraima";"18,29";"89,83";"92,53";"83,64";"84,65";"71,34";"74,53";"45,26";"70,67"
"15 Pará";"20,14";"57,71";"37,78";"62,39";"51,04";"48,29";"59,90";"44,51";"47,74"
"16 Amapá";"30,17";"80,98";"71,14";"86,08";"56,40";"51,17";"64,43";"28,61";"59,10"
"17 Tocantins";"34,67";"82,22";"52,17";"88,32";"60,91";"65,92";"81,35";"55,34";"65,21"
"21 Maranhão";"23,44";"87,39";"72,06";"51,68";"21,33";"15,44";"6,94";"1,43";"36,05"
"22 Piauí";"30,63";"61,99";"48,23";"65,66";"18,78";"2,94";"2,14";"4,17";"31,21"
"23 Ceará";"27,60";"127,95";"94,42";"91,06";"36,06";"11,75";"13,04";"1,53";"51,72"
"24 Rio Grande do Norte";"30,43";"91,87";"79,93";"54,28";"18,37";"13,52";"3,74";"5,15";"39,25"
"25 Paraíba";"34,19";"77,44";"57,99";"61,22";"23,84";"8,61";"13,22";"4,99";"36,40"
"26 Pernambuco";"30,85";"91,13";"85,85";"70,12";"30,03";"11,29";"7,78";"2,91";"43,00"
"27 Alagoas";"26,91";"90,20";"81,19";"63,96";"31,10";"19,86";"3,43";"3,58";"41,51"
"28 Sergipe";"42,14";"77,26";"74,59";"75,19";"24,57";"1,23";"0,81";"1,35";"40,75"
"29 Bahia";"36,87";"88,80";"73,66";"59,46";"22,40";"5,46";"1,79";"3,34";"38,07"
"31 Minas Gerais";"39,15";"78,40";"66,03";"91,82";"18,48";"9,73";"1,37";"2,12";"41,07"
"32 Espírito Santo";"39,84";"98,45";"85,88";"81,52";"16,06";"7,34";"3,42";"1,16";"44,07"
"33 Rio de Janeiro";"34,03";"96,72";"90,55";"73,79";"19,54";"8,88";"6,76";"9,93";"43,17"
"35 São Paulo";"37,63";"98,07";"94,64";"80,97";"20,98";"37,16";"26,81";"2,17";"50,91"
"41 Paraná";"40,20";"88,21";"74,68";"92,63";"69,77";"63,22";"83,02";"56,44";"71,29"
"42 Santa Catarina";"35,84";"93,16";"80,70";"99,59";"67,25";"68,81";"89,32";"56,52";"74,20"
"43 Rio Grande do Sul";"37,03";"81,82";"59,93";"87,12";"62,47";"68,63";"82,89";"56,41";"67,24"
"50 Mato Grosso do Sul";"35,91";"103,64";"70,74";"94,94";"66,20";"78,83";"81,86";"55,12";"73,62"
"51 Mato Grosso";"30,52";"99,51";"76,73";"85,98";"64,68";"60,46";"79,44";"60,67";"69,98"
"52 Goiás";"32,50";"85,99";"63,24";"85,20";"59,59";"59,51";"71,18";"48,57";"63,63"
"53 Distrito Federal";"44,44";"93,36";"66,33";"129,99";"66,10";"82,12";"84,27";"46,44";"77,00"
"Total";"34,19";"90,19";"77,37";"79,04";"35,44";"33,26";"34,24";"20,40";"51,29"
