"Unidade da Federação";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"12 anos";"5 a 6 anos";"7 a 11 anos";"13 a 14 anos";"15 a 16 anos";"17 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";" Total"
"11 Rondônia";"14136";"34743";"1296";"424";"363";"445";"464";"1729";"824";"1366";"3032";"8272";"8940";"6990";"6464";"5565";"4477";"4909";"187";"104626"
"12 Acre";"1183";"13341";"1094";"465";"586";"555";"703";"2755";"1126";"1146";"1375";"2504";"2171";"1575";"1457";"1079";"831";"273";"40";"34259"
"13 Amazonas";"35620";"84287";"5610";"2265";"2195";"1443";"2895";"7170";"3483";"4481";"8073";"16241";"15864";"10548";"9715";"7625";"5524";"4151";"365";"227555"
"14 Roraima";"5770";"12148";"1091";"758";"736";"517";"902";"2451";"1118";"1460";"3469";"6403";"5472";"2440";"1961";"1575";"1188";"613";"91";"50163"
"15 Pará";"36194";"132573";"11062";"5010";"5539";"9902";"8424";"36528";"22612";"28259";"48530";"81026";"80328";"59984";"55822";"43868";"34869";"43158";"8415";"752103"
"16 Amapá";"2198";"10926";"795";"310";"333";"763";"926";"3283";"1585";"1590";"2188";"2909";"2718";"2158";"2008";"1815";"1524";"1105";"156";"39290"
"17 Tocantins";"6403";"31140";"1144";"287";"227";"322";"189";"998";"681";"1323";"2334";"6313";"7064";"4600";"4642";"3818";"2881";"1787";"128";"76281"
"21 Maranhão";"12679";"95567";"4908";"1935";"2760";"5958";"3781";"16465";"13208";"16477";"21955";"28987";"26973";"19512";"18524";"14160";"10657";"5955";"972";"321433"
"22 Piauí";"7123";"52995";"1422";"456";"732";"1871";"998";"5301";"4575";"6868";"8809";"14365";"16858";"12258";"11997";"10013";"7615";"6774";"597";"171627"
"23 Ceará";"43444";"168073";"4323";"1293";"2057";"5015";"1729";"13656";"11000";"15536";"21427";"32127";"33977";"22626";"21385";"17813";"13865";"9020";"1071";"439437"
"24 Rio Grande do Norte";"11266";"51397";"2255";"690";"845";"1624";"1048";"5406";"4311";"6526";"8120";"14363";"15562";"14235";"14933";"13210";"10962";"3311";"266";"180330"
"25 Paraíba";"13328";"63599";"2089";"665";"1058";"1314";"1106";"4263";"3152";"4174";"5747";"8409";"9837";"5008";"4484";"3798";"3033";"2897";"346";"138307"
"26 Pernambuco";"47040";"151177";"4940";"1915";"2994";"2343";"2579";"8739";"5642";"8101";"13086";"33297";"37100";"30862";"31710";"27396";"22782";"14281";"1247";"447231"
"27 Alagoas";"15909";"57085";"2061";"664";"1188";"2149";"1240";"6368";"4653";"6340";"10711";"53273";"51197";"41283";"42272";"37768";"32162";"5226";"911";"372460"
"28 Sergipe";"10025";"37223";"851";"253";"383";"731";"287";"1884";"1851";"2753";"4930";"13422";"14223";"9237";"9011";"7471";"6167";"2858";"158";"123718"
"29 Bahia";"51721";"221363";"6282";"2139";"3214";"3560";"2950";"11537";"8049";"12577";"19471";"53549";"57873";"51796";"57334";"49052";"39294";"22167";"2883";"676811"
"31 Minas Gerais";"149613";"369075";"5117";"1378";"2093";"2726";"2180";"11936";"6787";"13946";"26151";"105535";"110084";"89839";"104126";"97406";"83371";"89488";"5695";"1276546"
"32 Espírito Santo";"31800";"71431";"1998";"589";"581";"484";"489";"1991";"1196";"2419";"3865";"19412";"22635";"18739";"21183";"19993";"16607";"26015";"1380";"262807"
"33 Rio de Janeiro";"87960";"192448";"10508";"4142";"4109";"3172";"4120";"14535";"8040";"21479";"34801";"75677";"89939";"33213";"39223";"37682";"33924";"68158";"3906";"767036"
"35 São Paulo";"342286";"795445";"41798";"6506";"6149";"4829";"6155";"28020";"10041";"22315";"40978";"121096";"159989";"152659";"175178";"164487";"136101";"137012";"12744";"2363788"
"41 Paraná";"88772";"210599";"3196";"1001";"1896";"1675";"1419";"7067";"4117";"6845";"17154";"81182";"94770";"65084";"75292";"72959";"68546";"159212";"2788";"963574"
"42 Santa Catarina";"61095";"132995";"2672";"781";"985";"1074";"943";"4200";"2445";"4210";"10393";"29660";"45333";"32162";"41349";"37640";"32673";"34216";"2643";"477469"
"43 Rio Grande do Sul";"65535";"186606";"4995";"1402";"1484";"1657";"1488";"6039";"3727";"5995";"13899";"22235";"28563";"19673";"24985";"21877";"18573";"17787";"1480";"448000"
"50 Mato Grosso do Sul";"13983";"54580";"1730";"564";"553";"756";"735";"3238";"1834";"2844";"4676";"11239";"12746";"9709";"9973";"8488";"7163";"3961";"324";"149096"
"51 Mato Grosso";"16156";"73533";"2845";"881";"1188";"2805";"1277";"6675";"5017";"5476";"8572";"13527";"14450";"10234";"10266";"8448";"6724";"7912";"309";"196295"
"52 Goiás";"31462";"113098";"5224";"1478";"1291";"1449";"1248";"5415";"3336";"5193";"9359";"21873";"25021";"19192";"19375";"16721";"13180";"9790";"506";"304211"
"53 Distrito Federal";"25955";"58485";"1570";"477";"508";"538";"278";"1976";"1184";"2077";"4485";"14034";"14285";"11479";"12517";"11051";"8883";"6585";"230";"176597"
"Total";"1228656";"3475932";"132876";"38728";"46047";"59677";"50553";"219625";"135594";"211776";"357590";"890930";"1003972";"757095";"827186";"742778";"623576";"688621";"49838";"11541050"
