"Unidade da Federação";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"5 a 6 anos";"7 a 11 anos";"13 a 14 anos";"15 a 16 anos";"17 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"Ignorado";" Total"
"11 Rondônia";"665";"52336";"1426";"457";"950";"19";"19";"103";"20";"14";"558";"21";"52";"498";"1408";"849";"819";"2709";"7452";"5697";"3464";"2893";"2148";"1651";"428";"147";"57";"86860"
"12 Acre";"143";"23966";"2339";"920";"1543";"98";"53";"38";"30";"18";"192";"23";"27";"905";"1251";"289";"168";"197";"374";"343";"238";"184";"102";"72";"201";"25";"73";"33812"
"13 Amazonas";"374";"121158";"9917";"4552";"5405";"237";"280";"208";"220";"190";"2602";"289";"316";"4623";"7510";"4562";"3168";"6813";"12257";"10879";"8126";"6585";"4286";"2896";"1139";"273";"413";"219278"
"14 Roraima";"705";"20610";"979";"421";"904";"49";"44";"30";"54";"58";"462";"111";"119";"403";"882";"855";"1086";"2336";"3698";"3212";"2292";"1705";"1289";"1063";"456";"150";"63";"44036"
"15 Pará";"1091";"184781";"12505";"5077";"7294";"474";"467";"409";"662";"651";"3766";"605";"796";"5350";"9989";"5945";"4171";"6270";"10991";"8020";"6544";"5308";"3520";"2554";"1454";"427";"715";"289836"
"16 Amapá";"434";"23189";"2192";"974";"1173";"148";"147";"148";"220";"226";"483";"164";"201";"869";"1382";"514";"446";"651";"1000";"762";"532";"426";"287";"191";"156";"70";"331";"37316"
"17 Tocantins";"91";"42289";"1588";"544";"386";"18";"15";"25";"41";"43";"292";"47";"77";"327";"885";"750";"718";"2384";"5522";"4967";"3363";"2915";"2081";"1598";"971";"330";"33";"72300"
"21 Maranhão";"2095";"162253";"13819";"4272";"5082";"383";"483";"441";"864";"751";"4890";"867";"1011";"3024";"10270";"8304";"4819";"6407";"8349";"8158";"6467";"4967";"2924";"2138";"1486";"351";"826";"265701"
"22 Piauí";"362";"69517";"2885";"655";"897";"100";"98";"92";"223";"185";"867";"305";"270";"451";"1667";"1455";"650";"1380";"2328";"2142";"1529";"1168";"816";"611";"361";"152";"196";"91362"
"23 Ceará";"8818";"244287";"9082";"4039";"5127";"66";"81";"103";"251";"311";"3407";"304";"309";"1716";"5893";"4315";"3378";"7385";"14122";"13103";"10040";"6933";"4161";"3103";"3769";"5137";"105";"359345"
"24 Rio Grande do Norte";"742";"66486";"4850";"1233";"1147";"122";"172";"203";"264";"249";"838";"322";"282";"421";"1344";"973";"395";"1206";"1431";"1228";"974";"728";"547";"390";"263";"153";"382";"87345"
"25 Paraíba";"1062";"97538";"4663";"1248";"2163";"61";"33";"95";"63";"82";"592";"104";"138";"547";"1022";"790";"717";"2677";"5933";"4836";"3673";"1699";"967";"782";"529";"228";"106";"132348"
"26 Pernambuco";"5653";"248777";"10699";"2573";"10174";"259";"195";"256";"390";"362";"2556";"328";"526";"2518";"5257";"2969";"3282";"7284";"14210";"14846";"11868";"9528";"6368";"4451";"2643";"545";"331";"368848"
"27 Alagoas";"2206";"91546";"4940";"1096";"1837";"100";"77";"141";"263";"268";"1347";"251";"257";"532";"1670";"1397";"1051";"2577";"3590";"2956";"2059";"1393";"930";"679";"550";"77";"181";"123971"
"28 Sergipe";"411";"56175";"1998";"555";"571";"59";"49";"40";"74";"117";"318";"130";"134";"298";"798";"667";"970";"2547";"4710";"3917";"2668";"1663";"755";"474";"217";"68";"100";"80483"
"29 Bahia";"3477";"301990";"12836";"3793";"6471";"463";"385";"445";"688";"585";"5467";"986";"1108";"4307";"11453";"8786";"6091";"12448";"22558";"21435";"17776";"16332";"11785";"9366";"5244";"1524";"693";"488492"
"31 Minas Gerais";"1762";"483168";"12004";"4311";"3556";"172";"205";"174";"292";"235";"2385";"459";"535";"3288";"6726";"5436";"5625";"15662";"26030";"34171";"35275";"39980";"32783";"30119";"16165";"4779";"385";"765682"
"32 Espírito Santo";"550";"92249";"3178";"855";"808";"66";"80";"69";"64";"86";"791";"110";"118";"718";"2049";"1357";"1436";"3784";"7030";"7860";"6491";"7052";"5435";"4207";"2472";"578";"138";"149631"
"33 Rio de Janeiro";"4306";"395823";"16790";"4092";"7660";"315";"443";"189";"614";"226";"3260";"253";"213";"3994";"6350";"2994";"2192";"6170";"9953";"10343";"9192";"8112";"5530";"4138";"1483";"270";"600";"505505"
"35 São Paulo";"4895";"1112326";"31267";"8800";"10146";"1029";"761";"437";"802";"670";"8720";"1126";"1260";"16521";"21725";"20341";"31144";"58151";"114601";"144410";"99391";"101789";"80547";"65025";"65234";"13820";"1483";"2016421"
"41 Paraná";"759";"289612";"7849";"3401";"3874";"86";"125";"126";"121";"121";"1497";"181";"210";"2023";"4501";"3755";"3082";"11759";"23369";"22306";"15007";"16888";"13957";"12037";"4190";"1738";"218";"442792"
"42 Santa Catarina";"955";"171459";"3992";"1828";"2982";"84";"91";"81";"108";"123";"871";"137";"174";"1372";"2990";"2836";"2377";"6770";"12166";"15680";"11470";"11649";"8836";"7650";"7773";"2619";"228";"277301"
"43 Rio Grande do Sul";"1243";"240002";"7603";"2513";"2554";"116";"136";"237";"271";"258";"1778";"369";"434";"2092";"5301";"4456";"3359";"12207";"16371";"13476";"10722";"9965";"7379";"6044";"3404";"1054";"354";"353698"
"50 Mato Grosso do Sul";"609";"76593";"2771";"1029";"2191";"77";"61";"23";"53";"56";"1052";"93";"104";"1277";"1696";"1298";"1358";"3785";"6927";"6454";"5157";"4452";"3309";"2674";"957";"228";"57";"124341"
"51 Mato Grosso";"706";"93970";"3574";"1227";"3307";"149";"115";"88";"173";"187";"3141";"339";"298";"1246";"2632";"3358";"1785";"3618";"5923";"5902";"4899";"3889";"2850";"2303";"997";"231";"158";"147065"
"52 Goiás";"1070";"162071";"6347";"2243";"2621";"147";"165";"122";"306";"160";"1520";"233";"234";"1828";"4504";"2729";"1913";"5992";"11980";"11490";"9269";"8329";"6167";"4877";"2883";"547";"293";"250040"
"53 Distrito Federal";"277";"74266";"1356";"437";"399";"50";"70";"59";"70";"64";"700";"140";"150";"580";"1878";"1469";"1281";"4631";"9430";"8374";"6586";"5941";"3940";"2933";"1164";"235";"127";"126607"
"Total";"45461";"4998437";"193449";"63145";"91222";"4947";"4850";"4382";"7201";"6296";"54352";"8297";"9353";"61728";"123033";"93449";"87481";"197800";"362305";"386967";"295072";"282473";"213699";"174026";"126589";"35756";"8646";"7940416"
