"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"0";"6";"1";"0";"5289";"28759";"29613";"36590";"38822";"32757";"31458";"27002";"27841";"27121";"26482";"27105";"27774";"44158";"53743";"30001";"30848";"30597";"35451";"32819";"21776";"646013"
"12 Acre";"0";"0";"0";"1";"0";"4194";"10326";"15576";"15745";"24882";"16596";"15001";"17812";"17480";"17720";"16653";"18015";"15452";"19746";"23525";"15166";"13512";"14480";"19444";"14784";"7933";"334043"
"13 Amazonas";"0";"0";"0";"26";"539";"10401";"21800";"57276";"75069";"61814";"76957";"78235";"80915";"78254";"80208";"77873";"73128";"79169";"103600";"121674";"77009";"68971";"70124";"93031";"80005";"58198";"1524276"
"14 Roraima";"0";"0";"0";"24";"8";"2470";"6034";"7224";"9909";"12015";"11318";"9048";"9340";"10426";"10989";"10523";"10286";"8858";"10382";"15736";"12830";"10221";"10598";"13831";"10990";"7339";"210399"
"15 Pará";"0";"0";"0";"0";"1";"15187";"73406";"187586";"198548";"236262";"170385";"169942";"178273";"170075";"168899";"159054";"158379";"146327";"169643";"235565";"106741";"105432";"106747";"139778";"131280";"75999";"3103509"
"16 Amapá";"0";"0";"0";"0";"0";"747";"18748";"13121";"16255";"18120";"14039";"13310";"14179";"14099";"14510";"13376";"13375";"13154";"17248";"23461";"14136";"15987";"13299";"19289";"15401";"6846";"302700"
"17 Tocantins";"0";"0";"0";"0";"95";"47";"22080";"24242";"32155";"35056";"27255";"26364";"27100";"25042";"25999";"24061";"23148";"22950";"39333";"39636";"24228";"23696";"25789";"30653";"23479";"18462";"540870"
"21 Maranhão";"0";"0";"539";"0";"79399";"104213";"107837";"113682";"141123";"156620";"149771";"141643";"153153";"147203";"146358";"136487";"140615";"122240";"168573";"212919";"108640";"139674";"136737";"150687";"164877";"94557";"3017547"
"22 Piauí";"0";"0";"679";"21799";"45813";"43179";"55425";"55877";"66053";"87548";"58999";"58217";"57053";"53277";"52379";"50016";"49648";"50253";"81380";"71094";"39195";"64572";"60452";"95028";"79549";"51606";"1349091"
"23 Ceará";"0";"0";"305539";"89174";"168021";"143849";"168791";"162136";"188053";"191296";"158449";"143557";"145724";"139144";"139878";"138184";"148730";"129107";"213557";"282293";"158492";"255622";"197059";"263347";"227425";"166587";"4324014"
"24 Rio Grande do Norte";"0";"0";"0";"27381";"32036";"26265";"22292";"40330";"62194";"81033";"52842";"51952";"52028";"47539";"49541";"49472";"49148";"48530";"77138";"78537";"47398";"65246";"57130";"67466";"76693";"49604";"1211795"
"25 Paraíba";"0";"0";"0";"71427";"56872";"48076";"61704";"62933";"71101";"93946";"69815";"68250";"69434";"64132";"63202";"80866";"65176";"56714";"89079";"104978";"58801";"85702";"83638";"93066";"104233";"61436";"1684581"
"26 Pernambuco";"0";"0";"0";"0";"43";"47724";"114183";"138903";"186623";"226021";"168081";"161852";"163098";"154941";"159048";"150219";"166596";"149893";"240569";"205993";"156990";"236234";"204690";"225027";"239146";"148027";"3643901"
"27 Alagoas";"0";"0";"0";"0";"391";"7305";"38327";"63859";"65570";"84040";"67629";"60193";"57635";"54340";"58770";"55175";"50404";"52365";"82524";"101068";"55990";"79297";"75223";"78268";"89417";"55584";"1333374"
"28 Sergipe";"0";"0";"0";"0";"45371";"38301";"41617";"41220";"49116";"73220";"35639";"35756";"38115";"36456";"36023";"34471";"34399";"34157";"58810";"49209";"34149";"52582";"47605";"56107";"56338";"36849";"965510"
