"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"0";"2";"8";"34";"6";"1";"31";"5";"6";"83";"25";"210";"252";"60";"2329";"66814";"90659";"81042";"82812";"59242";"383621"
"12 Acre";"0";"0";"0";"10";"64";"25";"15";"7";"12";"5";"21";"25";"653";"1007";"6916";"22766";"40836";"42911";"41707";"43991";"26999";"227970"
"13 Amazonas";"0";"73";"155";"181";"109";"105";"91";"98";"206";"205";"330";"42";"1727";"3418";"3169";"47566";"190077";"205953";"199647";"208157";"151989";"1013298"
"14 Roraima";"0";"2";"7";"2";"7";"9";"15";"6";"17";"50";"53";"51";"262";"667";"245";"1587";"24989";"27998";"25450";"30740";"23289";"135446"
"15 Pará";"0";"1";"0";"8";"13";"159";"235";"196";"310";"499";"527";"590";"1880";"3749";"89492";"201381";"311722";"329036";"323163";"337966";"226792";"1827719"
"16 Amapá";"0";"0";"4";"0";"0";"0";"1";"0";"3";"2";"0";"0";"379";"654";"5416";"8306";"17117";"37569";"39732";"39618";"19692";"168493"
"17 Tocantins";"0";"8";"0";"27";"2";"8";"21";"9";"16";"16";"129";"60";"483";"430";"14550";"42128";"68979";"70230";"70762";"69313";"53568";"390739"
"21 Maranhão";"0";"2528";"6";"36";"49";"444";"829";"389";"309";"324";"871";"1142";"2670";"2190";"26545";"94182";"251272";"289970";"290960";"275213";"177683";"1417612"
"22 Piauí";"0";"4";"5";"27";"18";"28";"27";"65";"71";"99";"124";"100";"202";"765";"26433";"64727";"102181";"113685";"117720";"118693";"88189";"633163"
"23 Ceará";"0";"0";"1";"9";"24";"10";"23";"2";"13";"23";"24";"16";"1708";"5732";"11888";"48765";"396920";"392940";"428252";"363562";"281627";"1931539"
"24 Rio Grande do Norte";"0";"0";"37";"312";"1";"11";"409";"40";"38";"69";"91";"108";"423";"3412";"3680";"21940";"88722";"110311";"121720";"119109";"82690";"553123"
"25 Paraíba";"0";"91";"183";"164";"113";"11";"0";"0";"107";"9";"719";"151";"2060";"4099";"32008";"60401";"148464";"144372";"155457";"159634";"108182";"816225"
"26 Pernambuco";"0";"14";"23";"165";"50";"111";"49";"50";"20";"37";"284";"84";"3458";"7553";"20774";"61970";"287805";"323913";"342652";"327091";"249140";"1625243"
"27 Alagoas";"0";"0";"0";"0";"10";"659";"1";"9";"3";"7";"1";"4";"128";"681";"3743";"20052";"123742";"126854";"133920";"136415";"94872";"641101"
"28 Sergipe";"0";"0";"0";"29";"10";"5";"9";"12";"98";"110";"186";"54";"119";"29";"6856";"25741";"83025";"85847";"91156";"84623";"57474";"435383"
"29 Bahia";"0";"880";"975";"20";"42";"409";"163";"400";"962";"578";"3292";"738";"8306";"20152";"51364";"144613";"351111";"480530";"489460";"474116";"356757";"2384868"
"31 Minas Gerais";"0";"87";"175";"291";"337";"451";"505";"580";"886";"1903";"1663";"1361";"8903";"10456";"198228";"379580";"721346";"726331";"763512";"695916";"543515";"4056026"
"32 Espírito Santo";"0";"68";"47";"4";"126";"90";"256";"214";"272";"438";"649";"579";"1767";"1790";"4387";"28406";"141294";"144167";"147897";"142176";"108838";"723465"
"33 Rio de Janeiro";"0";"62";"328";"344";"293";"221";"360";"270";"339";"504";"661";"518";"2197";"2143";"5517";"32082";"594000";"628198";"555825";"488788";"316765";"2629415"
"35 São Paulo";"0";"12195";"24539";"36605";"26118";"32805";"40661";"41870";"47756";"53110";"47039";"55292";"67993";"53501";"20100";"74081";"1466712";"1659499";"1614319";"1538779";"1178746";"8091720"
"41 Paraná";"0";"540";"583";"688";"474";"788";"1070";"1497";"1168";"1770";"1914";"2429";"16050";"34190";"66420";"224555";"435361";"446740";"427361";"418196";"314166";"2395960"
"42 Santa Catarina";"0";"621";"510";"1587";"948";"1590";"1784";"2324";"2249";"2210";"3708";"2400";"3195";"2340";"13192";"86457";"227578";"274279";"267967";"265580";"197717";"1358236"
"43 Rio Grande do Sul";"3";"1346";"3087";"3630";"2388";"1367";"2080";"3121";"3103";"3873";"3673";"3704";"6018";"8299";"112322";"190496";"357333";"376797";"372175";"360462";"286057";"2101334"
"50 Mato Grosso do Sul";"0";"106";"162";"417";"251";"166";"235";"236";"125";"341";"642";"690";"1076";"1735";"33916";"51240";"104961";"124426";"122990";"126359";"90159";"660233"
"51 Mato Grosso";"0";"6";"11";"14";"36";"79";"82";"134";"130";"175";"309";"267";"1368";"2213";"7822";"42937";"146694";"147707";"149818";"149761";"120865";"770428"
"52 Goiás";"0";"15";"18";"19";"20";"194";"78";"398";"1150";"2542";"723";"469";"4526";"3371";"50661";"142389";"257785";"259214";"252829";"246399";"188486";"1411286"
"53 Distrito Federal";"0";"90";"438";"563";"456";"470";"525";"996";"892";"359";"376";"631";"2878";"5287";"10232";"4787";"60669";"117025";"110079";"105185";"87070";"509008"
"Total";"3";"18737";"31296";"45160";"31993";"40221";"49525";"52954";"60260";"69264";"68092";"71530";"140639";"180115";"825936";"2125464";"7067509";"7777161";"7737572";"7408654";"5490569";"39292654"
