"Unidade da Federação";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";" Total"
"11 Rondônia";"9980";"15409";"13461";"7251";"9006";"8735";"9058";"10433";"9035";"11984";"359";"104711"
"12 Acre";"4843";"7347";"5114";"1812";"2829";"2488";"2749";"2420";"2428";"2208";"37";"34275"
"13 Amazonas";"29625";"38748";"32027";"7024";"15926";"24594";"18924";"20347";"17835";"21480";"1150";"227680"
"14 Roraima";"9342";"9046";"7562";"2327";"2687";"3001";"6748";"3901";"4054";"1335";"260";"50263"
"15 Pará";"102561";"137193";"114932";"42234";"30282";"39502";"65136";"96905";"95084";"27739";"747";"752315"
"16 Amapá";"3880";"9936";"8669";"1165";"658";"1507";"2990";"4144";"3062";"3276";"3";"39290"
"17 Tocantins";"8684";"11967";"8232";"5418";"7330";"6760";"6984";"8851";"5995";"6046";"44";"76311"
"21 Maranhão";"31633";"75139";"48983";"12990";"14533";"22607";"36711";"38770";"24335";"15607";"214";"321522"
"22 Piauí";"20587";"37143";"30160";"5633";"10007";"11729";"13082";"19466";"12074";"11568";"209";"171658"
"23 Ceará";"48842";"88296";"46978";"22623";"27850";"33775";"50507";"60019";"41258";"18423";"1152";"439723"
"24 Rio Grande do Norte";"14054";"31388";"14640";"5236";"9614";"7616";"11676";"39947";"21183";"24794";"269";"180417"
"25 Paraíba";"17872";"31122";"15903";"6685";"10393";"9195";"14739";"12020";"10334";"10039";"7";"138309"
"26 Pernambuco";"44147";"65362";"42258";"22943";"39115";"37366";"52466";"53913";"43455";"44708";"2169";"447902"
"27 Alagoas";"20425";"33504";"28401";"7937";"10071";"9020";"15644";"182908";"40752";"23300";"711";"372673"
"28 Sergipe";"12622";"18009";"14970";"7115";"7776";"6963";"8602";"9979";"7078";"30547";"123";"123784"
"29 Bahia";"56861";"99895";"78731";"42044";"56542";"53140";"75910";"88288";"62705";"62344";"478";"676938"
"31 Minas Gerais";"99054";"149692";"122792";"91544";"140384";"141143";"172472";"184515";"93426";"79331";"2687";"1277040"
"32 Espírito Santo";"21080";"21749";"19957";"10352";"21645";"21390";"28120";"54188";"36420";"26454";"1971";"263326"
"33 Rio de Janeiro";"73788";"212645";"190274";"31774";"37381";"38249";"38431";"41876";"37225";"63918";"2452";"768013"
"35 São Paulo";"227701";"253228";"225105";"130624";"180149";"202342";"353920";"422503";"238105";"129041";"1545";"2364263"
"41 Paraná";"66383";"270291";"187115";"52156";"83310";"66750";"76782";"71784";"53746";"34813";"573";"963703"
"42 Santa Catarina";"54458";"138847";"64407";"29775";"43190";"35096";"37570";"30289";"28768";"14306";"895";"477601"
"43 Rio Grande do Sul";"52944";"84876";"50985";"25976";"36966";"39441";"45812";"42028";"33841";"33992";"1460";"448321"
"50 Mato Grosso do Sul";"13773";"21151";"14915";"9329";"15422";"18021";"19039";"14319";"11999";"11047";"175";"149190"
"51 Mato Grosso";"20807";"40469";"22941";"10861";"17379";"15178";"17346";"16387";"16009";"18551";"512";"196440"
"52 Goiás";"30439";"50487";"35971";"16575";"34815";"28056";"28085";"26637";"24943";"26496";"2233";"304737"
"53 Distrito Federal";"18738";"22471";"19391";"11859";"16655";"14059";"13203";"23402";"17197";"19170";"568";"176713"
"Total";"1115123";"1975410";"1464874";"621262";"881915";"897723";"1222706";"1580239";"992346";"772517";"23003";"11547118"
