"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"5974";"28414";"25149";"25480";"22652";"16015";"21424";"13970";"159078"
"12 Acre";"1691";"9632";"8119";"10417";"11136";"12450";"15518";"6643";"75606"
"13 Amazonas";"14661";"60806";"60200";"59772";"59057";"59026";"68506";"30812";"412840"
"14 Roraima";"723";"8895";"9584";"9262";"10713";"10556";"12398";"6050";"68181"
"15 Pará";"19517";"80649";"57567";"84062";"87402";"81808";"102820";"65588";"579413"
"16 Amapá";"3555";"13339";"11722";"13818";"11667";"10510";"12633";"4707";"81951"
"17 Tocantins";"3866";"24256";"13499";"21298";"17502";"18020";"22865";"13738";"135044"
"21 Maranhão";"15283";"103694";"81121";"9576";"28526";"20948";"8219";"1316";"268683"
"22 Piauí";"7597";"33450";"27878";"3701";"9471";"1123";"762";"1518";"85500"
"23 Ceará";"22093";"127507";"97759";"13514";"49874";"15551";"17697";"1729";"345724"
"24 Rio Grande do Norte";"8402";"39248";"34624";"5314";"10245";"6104";"1731";"2053";"107721"
"25 Paraíba";"9397";"44231";"31326";"2636";"14835";"5026";"8357";"2330";"118138"
"26 Pernambuco";"21365";"114712";"105956";"23713";"46094";"15808";"13124";"3761";"344533"
"27 Alagoas";"9462";"44946";"38841";"5039";"17330";"11203";"1645";"1672";"130138"
"28 Sergipe";"8003";"26653";"25103";"3439";"8910";"409";"231";"392";"73140"
"29 Bahia";"41381";"173439";"152136";"23733";"50527";"11277";"3149";"6198";"461840"
"31 Minas Gerais";"65144";"180421";"140644";"4322";"51731";"25455";"2637";"4155";"474509"
"32 Espírito Santo";"14353";"48928";"40807";"1688";"9534";"4426";"2304";"690";"122730"
"33 Rio de Janeiro";"39777";"199292";"171874";"23478";"46677";"20118";"16784";"22335";"540335"
"35 São Paulo";"119856";"484337";"457708";"24592";"139270";"260157";"178117";"16979";"1681016"
"41 Paraná";"25956";"112712";"113886";"132924";"126022";"114461";"148473";"86436";"860870"
"42 Santa Catarina";"20359";"69996";"67027";"88541";"71387";"73988";"94930";"53719";"539947"
"43 Rio Grande do Sul";"23068";"104655";"91207";"119714";"99437";"114330";"128558";"78685";"759654"
"50 Mato Grosso do Sul";"7158";"43994";"30715";"38774";"32383";"42609";"41764";"24394";"261791"
"51 Mato Grosso";"8251";"47473";"41499";"44308";"42496";"38718";"51812";"34745";"309302"
"52 Goiás";"18138";"82611";"53505";"79759";"66648";"66041";"79002";"48785";"494489"
"53 Distrito Federal";"10365";"44316";"26940";"56821";"31973";"41386";"42033";"21091";"274925"
"Total";"545395";"2352606";"2016396";"929695";"1173499";"1097523";"1097493";"554491";"9767098"
