"Unidade da Federação";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";" Total"
"11 Rondônia";"388263";"42032";"34210";"45767";"2974";"2093";"1426";"1547";"5223";"7712";"3255";"161841";"13247";"4414";"3534";"3014";"3451";"3169";"4009";"4040";"6252";"7078";"4391";"6289";"4350";"4183";"3961";"3627";"3528";"2812";"4665";"3212";"3761";"4533";"3659";"5228";"3665";"3470";"3431";"2810";"3586";"3205";"3837";"4324";"4702";"6658";"4970";"6071";"4140";"4734";"5109";"2580";"6845";"5271";"5161";"6741";"6118";"9428";"7720";"10750";"5628";"4216";"3828";"3615";"4376";"3872";"5466";"5945";"6171";"6802";"5049";"5024";"6303";"4036";"4137";"3261";"4324";"3817";"5549";"3969";"5262";"5551";"4397";"6107";"4234";"4156";"4444";"3703";"4628";"4885";"5210";"5716";"5637";"4649";"3115";"10294";"4905";"5492";"8250";"4518";"5553";"6104";"5589";"4606";"4125";"4350";"3843";"11851";"4583";"4100";"4212";"3607";"5174";"4919";"5099";"6099";"6959";"10279";"9339";"15842";"22524";"6884";"6243";"5604";"7424";"7364";"6910";"6554";"7964";"5626";"6526";"6165";"6841";"5328";"18424";"101033";"5796";"5259";"6001";"5154";"5955";"5285";"5560";"11225";"5738";"4883";"4870";"4009";"6040";"5026";"5817";"7034";"5851";"8190";"6807";"6978";"12002";"5170";"4870";"4563";"7448";"7230";"8530";"8321";"8815";"6565";"5650";"6664";"9673";"8054";"5780";"4130";"7522";"6423";"8575";"7464";"8103";"8187";"47734";"40374";"14259";"10512";"7697";"6081";"10882";"7385";"7500";"9089";"9362";"7609";"8098";"13329";"18915";"24393";"16743";"9375";"5480";"8436";"7167";"4211";"4984";"5479";"5323";"5153";"5230";"7228";"286";"21";"2095816"
"12 Acre";"198338";"22175";"27401";"29509";"1718";"1615";"1387";"856";"1817";"3992";"1485";"78812";"4590";"1590";"2031";"1401";"1598";"2071";"2160";"2861";"3267";"3480";"2477";"5751";"2935";"2804";"2170";"2353";"1903";"1489";"1670";"1767";"1743";"3001";"2183";"2066";"2953";"2013";"2006";"2548";"2091";"2623";"3805";"3428";"3416";"4369";"2697";"4047";"7442";"7436";"5846";"3323";"3166";"3095";"2813";"3601";"5250";"6895";"3313";"8038";"4790";"3309";"3115";"2606";"2048";"2595";"2809";"3800";"3883";"5579";"3458";"3455";"4574";"2736";"2524";"2427";"2024";"2988";"3419";"3776";"4152";"3994";"2291";"4042";"2394";"2320";"2968";"3039";"3038";"3343";"3166";"3302";"4765";"6441";"4957";"10135";"4990";"4117";"6763";"2690";"2328";"2577";"2842";"3487";"3090";"3322";"1754";"2290";"1768";"1705";"1777";"1388";"2129";"1708";"2147";"3117";"2959";"5481";"2578";"7437";"3348";"2198";"2782";"3382";"2618";"3025";"1837";"3084";"3012";"2912";"2147";"2260";"2041";"1688";"11566";"42562";"2115";"2089";"2750";"2590";"3169";"2137";"1607";"7847";"2153";"2110";"1981";"1684";"2740";"3420";"2017";"2185";"2505";"2027";"2016";"2210";"6573";"1639";"2193";"1617";"2192";"2264";"2914";"2250";"2805";"2470";"2073";"2840";"6678";"2644";"2634";"2048";"2859";"2515";"2936";"3074";"2699";"2552";"5136";"29689";"5230";"3417";"2626";"1912";"3172";"3157";"3265";"3594";"3420";"3012";"3493";"4020";"5397";"9533";"7912";"5324";"2603";"3814";"3066";"899";"1685";"1597";"1823";"1102";"1146";"1397";"58";"0";"1056168"
"13 Amazonas";"977766";"60173";"123318";"131798";"9032";"9450";"7487";"5129";"12216";"20180";"9989";"248523";"16961";"9363";"9462";"10759";"10460";"8879";"11721";"13478";"19246";"24537";"18433";"29463";"22319";"14927";"18156";"14123";"14611";"15517";"14854";"12563";"13106";"13691";"12283";"15094";"14340";"11550";"13630";"17845";"20473";"17135";"17450";"16643";"20590";"25062";"20799";"19157";"16839";"21893";"19667";"16961";"26585";"18311";"19676";"23842";"28542";"29896";"21804";"59939";"20730";"18474";"15152";"17440";"12204";"14082";"16009";"16735";"22557";"23260";"18098";"19492";"23138";"15775";"15808";"12308";"13549";"14385";"20339";"20202";"22240";"20738";"15571";"22589";"19236";"17914";"16077";"14128";"14545";"16156";"15657";"18924";"22625";"23862";"18106";"23030";"19274";"15788";"19685";"13587";"15753";"17489";"21406";"17640";"23380";"21999";"17351";"30495";"18021";"19196";"14548";"14320";"15094";"19294";"30311";"27696";"18423";"34490";"23829";"37872";"49429";"24081";"22955";"20915";"24049";"28700";"26408";"26665";"24152";"18355";"19370";"23910";"22168";"17430";"34620";"209852";"16869";"20676";"24252";"19860";"22112";"18800";"16030";"31752";"18815";"17171";"15577";"11963";"18016";"15868";"15560";"18067";"17003";"16218";"16359";"21592";"39616";"15301";"16695";"11444";"18483";"15671";"24211";"16909";"20088";"17061";"17603";"18024";"33175";"14119";"14167";"9767";"18041";"15070";"55897";"94111";"42623";"57467";"306315";"282452";"84627";"50565";"29881";"22149";"30730";"29839";"35057";"30349";"27656";"24034";"24567";"29950";"31149";"43814";"35835";"21459";"17128";"19622";"17843";"3693";"7027";"11815";"8826";"14583";"9212";"11494";"617";"233";"6469455"
"14 Roraima";"114210";"13967";"14232";"14922";"655";"1383";"1122";"1262";"3315";"5761";"3168";"40291";"12839";"3666";"2967";"1773";"2742";"2768";"4125";"4159";"3369";"5903";"4935";"8506";"4592";"4630";"3083";"4394";"3578";"2787";"2719";"6576";"4316";"4991";"2792";"4751";"3058";"3172";"3780";"6419";"5407";"3600";"4575";"4768";"4346";"9293";"4468";"7053";"4875";"6601";"4934";"4779";"13346";"10446";"8121";"5392";"8948";"13128";"7559";"15272";"15572";"3468";"3569";"3099";"3223";"4059";"3838";"3151";"4161";"3999";"3699";"3169";"3021";"2979";"2144";"2154";"2979";"2296";"2512";"2650";"2504";"2740";"2389";"2491";"3028";"2536";"2211";"1865";"2120";"2424";"2582";"3729";"3368";"2837";"4440";"3535";"3019";"2515";"4342";"3007";"2389";"3011";"2935";"3124";"600";"2992";"3127";"3647";"3141";"1968";"2690";"2589";"2968";"3063";"2634";"2513";"3946";"3826";"3047";"2740";"5987";"2845";"1170";"2068";"3309";"4652";"4091";"4266";"3671";"3966";"3162";"3633";"4063";"2843";"3439";"27643";"2446";"14805";"11322";"3436";"3000";"3463";"3256";"4879";"3239";"3014";"3032";"3307";"3507";"4465";"4918";"4000";"4230";"4000";"3902";"4240";"5472";"5144";"4416";"3039";"4028";"4538";"4994";"3036";"3967";"3037";"3488";"3071";"3722";"3644";"3328";"3183";"5170";"8427";"53095";"35814";"18853";"12512";"17304";"12563";"7162";"13201";"13196";"10600";"13560";"10850";"9026";"9172";"9670";"5050";"5944";"8413";"9231";"16317";"10369";"9479";"5647";"4793";"4721";"1059";"1410";"1173";"4483";"1983";"3117";"772";"199";"4";"1264678"
"15 Pará";"1926121";"151244";"396588";"306364";"14548";"16958";"13509";"8632";"8495";"34259";"15416";"1005869";"56933";"18855";"19924";"15691";"16981";"17051";"19236";"22948";"23777";"38139";"18629";"37827";"20597";"22238";"25678";"21923";"20124";"19179";"17091";"16273";"16568";"37525";"19149";"30834";"31993";"20840";"23483";"22171";"20504";"22663";"22991";"25691";"26332";"53761";"24428";"35307";"33756";"24577";"25447";"22485";"26889";"25058";"23604";"26905";"27493";"56988";"30084";"33839";"63282";"21075";"23771";"21193";"21178";"24168";"24087";"25061";"24194";"44590";"30693";"27979";"101401";"46400";"32471";"25133";"20994";"23270";"28949";"26594";"23899";"32655";"27699";"47678";"30507";"24648";"24699";"22572";"21356";"23597";"22850";"27906";"28467";"37972";"30518";"86347";"34639";"25419";"57323";"21595";"21481";"23153";"26081";"28750";"27206";"37085";"29539";"46344";"31327";"22641";"22538";"18813";"21915";"23067";"26585";"33083";"30482";"41029";"28146";"53503";"57916";"30074";"28283";"26203";"32348";"34973";"28428";"30616";"28687";"24138";"23757";"26102";"27313";"22568";"99883";"440519";"21183";"18400";"22158";"19027";"18013";"16538";"14243";"42251";"17243";"16101";"16501";"10803";"22993";"21695";"14268";"19922";"19253";"20492";"17599";"28990";"56785";"14755";"18834";"14315";"25205";"20664";"30709";"22440";"26060";"25124";"20343";"23309";"43621";"22475";"17738";"12148";"21731";"17756";"19858";"21903";"20303";"20440";"47767";"150986";"40174";"29719";"27640";"18519";"29188";"41395";"35238";"29916";"29634";"33542";"35251";"54181";"89442";"177522";"101341";"64613";"55915";"76059";"62052";"22647";"16659";"21857";"34209";"54600";"50962";"18478";"991";"44";"10386597"
"16 Amapá";"149071";"31917";"20824";"23113";"1500";"1120";"1313";"1353";"1060";"2430";"1341";"66572";"3202";"1499";"1367";"1218";"1465";"1731";"1865";"1661";"1365";"3580";"1497";"2690";"2342";"1729";"1717";"1371";"1892";"1817";"1737";"1468";"1902";"2323";"1538";"2017";"1538";"1672";"1553";"1246";"2060";"1725";"2033";"2147";"1958";"3831";"1966";"3309";"2321";"2089";"2475";"2032";"3669";"2910";"4115";"3192";"2729";"4242";"2489";"4175";"2927";"2165";"1886";"1648";"2143";"2040";"2662";"2718";"3737";"3946";"2343";"2130";"3658";"2329";"2398";"1631";"2196";"2064";"3320";"2570";"3136";"3188";"1881";"3756";"2012";"2120";"2517";"1612";"2543";"2522";"2391";"2307";"2939";"3650";"2248";"4896";"2389";"2544";"4125";"1955";"2418";"2120";"2505";"3039";"3835";"3300";"2708";"5326";"2289";"2074";"2221";"1019";"2553";"2203";"2292";"3153";"2657";"4823";"3489";"8737";"7375";"2952";"2792";"2498";"3529";"3161";"2897";"3562";"3549";"2408";"2832";"3099";"3866";"3327";"8362";"48006";"3193";"2605";"3299";"2682";"3048";"2070";"2313";"5986";"2949";"2718";"2611";"2180";"3173";"3191";"3427";"3377";"3201";"3057";"2830";"4130";"6798";"2717";"2776";"2257";"2377";"2365";"3062";"2494";"2467";"2428";"2487";"3439";"8221";"3092";"2963";"1921";"2792";"2673";"2978";"2767";"2567";"2364";"4481";"29729";"4274";"3597";"2848";"1954";"3391";"3142";"3183";"2902";"3074";"2503";"2672";"6010";"6778";"10355";"7848";"4368";"2728";"6198";"5325";"642";"341";"573";"1694";"2285";"1235";"2711";"57";"0";"937244"
"17 Tocantins";"335813";"43710";"32961";"41393";"2611";"2147";"1587";"6137";"4317";"5583";"3186";"167912";"10813";"6437";"12415";"7586";"8249";"6588";"7439";"11050";"7619";"11300";"6321";"15945";"6066";"6585";"7335";"6795";"5874";"5095";"5582";"5176";"5070";"8372";"5612";"7152";"4858";"6373";"7257";"5032";"7463";"7580";"9681";"10328";"9571";"14521";"6461";"19082";"18025";"24380";"22525";"15067";"56195";"23460";"17723";"16335";"13045";"17868";"9098";"17271";"11184";"8486";"7276";"5795";"7538";"7152";"8999";"8644";"9287";"13362";"6934";"10036";"11888";"7848";"8038";"6318";"7607";"7732";"11283";"12960";"11234";"10533";"5844";"10156";"7140";"5950";"6548";"4896";"6419";"6615";"8882";"9434";"7420";"6866";"5036";"12880";"6750";"5721";"8159";"4310";"4884";"3475";"6842";"4709";"4242";"5287";"3687";"11871";"5301";"4497";"4788";"3475";"5737";"5347";"7192";"10333";"6347";"11988";"7028";"13980";"19682";"6873";"6472";"5054";"8199";"6065";"6406";"7153";"5830";"4735";"5423";"5921";"6264";"4603";"11737";"80557";"4393";"3768";"5063";"4403";"4589";"3851";"3903";"9820";"4224";"3962";"3965";"3123";"5133";"4498";"5333";"5428";"5380";"5695";"4623";"6408";"11654";"4913";"5402";"3433";"6476";"5473";"6085";"4847";"6482";"5192";"4794";"5964";"10276";"6901";"5625";"4185";"7782";"5527";"6419";"6723";"6656";"5653";"7007";"35134";"8806";"6823";"5985";"4172";"6362";"5295";"5691";"7233";"7436";"5797";"5892";"12359";"15284";"15542";"13829";"7133";"3949";"6547";"4728";"2724";"3528";"4382";"4266";"4920";"3561";"2933";"69";"3";"2295590"
"21 Maranhão";"449744";"226803";"208499";"222161";"15194";"15177";"11824";"6283";"7348";"15617";"13878";"732383";"81112";"18711";"18303";"14701";"15115";"16641";"18780";"24039";"25093";"42179";"20694";"36214";"25755";"21728";"26392";"23331";"22196";"18534";"10981";"13064";"19055";"30047";"17045";"25419";"21235";"20850";"25089";"23668";"25234";"26933";"25711";"28642";"30628";"42871";"30604";"35592";"32032";"35009";"43433";"28050";"36825";"30375";"28732";"32963";"28559";"44476";"27728";"1328918";"131338";"34486";"34540";"21014";"22415";"22664";"24719";"23420";"23822";"37583";"27413";"28180";"32251";"26159";"24209";"19809";"23959";"21939";"27062";"25224";"24581";"32622";"22373";"34395";"27166";"27699";"36031";"26777";"25097";"27078";"26446";"28378";"31978";"40337";"26522";"78285";"30726";"18550";"44616";"21851";"24775";"22493";"24017";"23681";"25380";"30562";"21924";"46196";"20808";"19191";"16430";"14278";"20125";"22594";"25921";"36935";"26603";"40025";"24718";"52903";"59528";"30813";"30331";"25740";"30684";"29694";"29864";"28911";"26311";"23340";"24915";"25141";"28269";"23653";"99348";"430331";"20401";"21171";"25760";"20918";"23643";"19051";"19424";"46497";"19971";"17834";"18015";"12433";"17217";"15316";"17520";"19169";"18196";"16306";"14926";"19436";"45324";"14475";"17379";"9352";"20210";"18945";"29895";"20641";"24666";"19804";"20776";"20931";"43717";"20088";"17220";"8808";"18368";"16580";"19950";"23087";"18457";"16245";"30684";"134657";"27424";"23821";"19843";"13178";"23732";"20554";"20710";"27441";"27003";"21446";"25594";"50095";"73020";"72533";"71946";"33868";"17672";"41801";"26448";"6842";"7506";"11904";"20054";"20151";"13332";"9004";"378";"15";"9055121"
"22 Piauí";"302222";"66904";"63450";"75083";"6309";"5501";"4103";"1557";"4798";"11650";"6127";"405517";"15961";"4927";"6630";"4700";"6374";"7257";"8065";"8822";"6662";"9532";"6795";"12807";"7766";"7824";"9512";"9688";"8478";"8384";"7787";"6494";"8183";"9210";"6844";"9574";"7474";"7204";"10905";"11522";"10496";"15068";"12656";"9109";"9837";"12698";"7961";"12026";"11971";"12899";"10728";"7022";"11670";"7756";"7424";"8087";"7458";"11813";"7591";"11082";"11191";"6499";"7148";"5678";"7391";"6837";"7783";"7168";"7712";"13002";"8166";"12253";"8441";"7449";"8152";"5691";"8732";"6920";"8586";"7586";"7515";"9048";"7776";"11780";"8609";"8246";"9177";"6835";"9219";"7860";"8221";"9225";"8963";"13328";"10072";"26087";"7908";"8963";"9608";"6441";"8059";"7338";"9003";"8854";"10176";"9965";"9377";"16977";"10864";"7877";"7368";"6612";"8607";"10051";"12963";"12820";"9791";"23149";"12811";"41340";"35041";"12438";"11232";"7886";"11737";"11098";"9795";"10983";"9498";"8230";"8860";"8711";"8570";"7281";"65684";"88979";"7057";"5800";"7118";"6628";"6491";"6350";"6610";"12249";"6648";"6835";"7994";"4598";"7652";"7217";"16866";"10633";"8357";"8295";"7882";"11035";"18210";"4718";"6984";"5461";"7894";"7006";"8775";"5717";"6448";"6372";"6066";"6909";"15991";"8063";"7936";"4185";"10286";"7533";"7933";"8351";"7514";"7133";"10737";"115494";"13882";"10209";"8882";"5851";"9629";"8285";"8301";"8158";"8852";"8188";"10491";"24283";"39487";"36658";"56520";"20525";"11918";"19241";"17704";"2888";"6076";"5769";"6427";"10956";"5454";"5792";"190";"18";"3145910"
"23 Ceará";"833850";"206267";"180919";"213759";"13976";"14052";"9443";"5605";"12902";"26208";"16223";"907142";"61333";"16256";"19522";"18389";"17459";"18826";"19883";"18929";"18245";"28104";"19522";"60658";"44681";"33365";"28198";"21272";"22450";"19019";"24112";"21490";"22483";"19988";"20754";"29258";"18528";"20343";"37366";"34363";"37221";"79437";"36430";"27095";"24581";"39714";"22314";"33437";"23277";"23202";"20425";"18155";"19767";"18880";"18428";"23701";"21375";"43008";"23303";"92411";"24149";"17434";"19490";"16857";"21044";"19578";"22804";"20282";"22661";"40566";"25130";"21374";"34613";"20727";"19830";"16096";"22790";"19382";"24428";"22647";"21734";"32480";"22700";"36413";"24080";"27593";"42584";"35744";"31060";"29558";"30434";"28120";"28740";"81455";"69126";"68329";"23066";"24717";"25463";"20189";"23464";"18660";"21742";"27509";"25209";"32768";"24502";"37521";"20978";"21391";"20820";"17057";"25249";"25683";"31277";"41973";"35856";"66659";"34270";"68034";"61692";"30688";"31187";"23073";"56450";"200724";"54171";"111206";"38128";"62259";"133943";"131809";"100228";"57867";"239583";"247445";"88855";"91249";"100964";"71293";"53187";"43868";"37132";"60235";"33457";"32693";"35365";"29284";"41197";"43750";"44391";"31442";"30040";"29353";"29522";"41470";"66788";"26968";"29465";"23516";"28011";"25518";"31828";"27068";"31725";"28170";"29472";"32473";"45993";"28948";"28388";"21751";"33889";"25463";"30135";"31970";"30586";"30498";"47738";"215033";"45837";"32755";"29606";"22534";"29042";"24755";"25515";"27282";"28213";"24466";"30938";"59515";"77065";"65874";"106013";"50261";"21890";"46426";"26394";"12309";"13425";"18009";"26009";"32153";"23014";"10793";"876";"85";"10009040"
